"Provincia, cantón y distrito",Población de 15 años y más,Tasa neta de participación,Tasa de ocupación,Tasa de desempleo abierto,Porcentaje de población económicamente inactiva,Relación de dependencia económica,"Porcentaje de población ocupada  (Sector 
Primario)",Porcentaje de población ocupada  (Sector Secundario),Porcentaje de población ocupada  (Sector Terciario)
Aserrí            ,21291,"56,5731999436382","54,6334131792776","3,42880863428809","43,4268000563618","1,34047322540473","1,5818431911967","19,7902338376891","78,6279229711142"
Tarbaca     ,1096,"53,4671532846715","51,1861313868613","4,26621160409556","46,5328467153285","1,46757679180887","20,4991087344028","16,5775401069519","62,9233511586453"
Vuelta de Jorco   ,4956,"49,455205811138","47,9822437449556","2,97837617299062","50,544794188862","1,6515707874337","22,4137931034483","13,1623212783852","64,4238856181665"
San Gabriel       ,4521,"49,8562264985623","48,7281574872816","2,26264418811003","50,1437735014377","1,68899733806566","13,5270086246028","16,0689968225148","70,4039945528824"
Legua           ,1063,"45,1552210724365","43,9322671683914","2,70833333333333","54,8447789275635","2,16875","52,4625267665953","8,77944325481799","38,7580299785867"
Monterrey         ,362,"46,9613259668508","45,5801104972376","2,94117647058823","53,0386740331492","1,92941176470588","55,1515151515152","10,9090909090909","33,9393939393939"
Salitrillos       ,10107,"55,8622736717127","54,0021767092114","3,32979100247963","44,1377263282873","1,42224583776125","3,62770245511176","22,2609014290949","74,1113961157933"
Colón            ,12642,"58,6299636133523","56,7473501028318","3,21100917431193","41,3700363866477","1,17053426875337","4,5720657931419","15,6258712015612","79,8020630052969"
Guayabo           ,3381,"53,5936113575865","52,2330671398994","2,53863134657837","46,4063886424135","1,45529801324503","8,77689694224236","20,158550396376","71,0645526613817"
Tabarcia          ,3561,"48,1044650379107","46,1106430777871","4,14477524810274","51,8955349620893","1,74547577349679","17,7222898903776","15,2253349573691","67,0523751522534"
Piedras Negras    ,288,"39,9305555555556","38,5416666666667","3,47826086956522","60,0694444444444","2,29565217391304","58,5585585585586","3,6036036036036","37,8378378378378"
Picagres          ,542,"40,590405904059","39,6678966789668","2,27272727272727","59,409594095941","2,06818181818182","28,8372093023256","11,6279069767442","59,5348837209302"
Guadalupe         ,17467,"54,995133680655","53,2489837980191","3,17509889652301","45,0048663193451","1,15105142619196","0,483818944199548","13,4286635845608","86,0875174712396"
San Francisco     ,1684,"55,166270783848","52,7315914489311","4,41334768568353","44,833729216152","1,18729817007535","1,12612612612613","17,454954954955","81,4189189189189"
Calle Blancos     ,15370,"59,1151594014314","56,8965517241379","3,75302663438257","40,8848405985686","1,08936825885978","0,514579759862779","16,3407661520869","83,1446540880503"
Mata de Plátano   ,13808,"61,1312282734647","59,41483198146","2,80772420329345","38,8687717265353","1,0578130553252","1,15797172111165","15,5533885909313","83,2886396879571"
